便塊除去	予測１
便塊除去	予測２
便塊除去	予測３
アルツハイマ-認知症	予測１
アルツハイマ-認知症	予測２
アルツハイマ-認知症	予測３
熱傷（背部）	予測１
熱傷（背部）	予測２
熱傷（背部）	予測３
2015.8.12骨盤-その他-前立腺癌	予測１
2015.8.12骨盤-その他-前立腺癌	予測２
2015.8.12骨盤-その他-前立腺癌	予測３
口のにがみ	予測１
口のにがみ	予測２
口のにがみ	予測３
軽度呼吸困難感	予測１
軽度呼吸困難感	予測２
軽度呼吸困難感	予測３
両足関節偽痛風	予測１
両足関節偽痛風	予測２
両足関節偽痛風	予測３
内痔核出血	予測１
内痔核出血	予測２
内痔核出血	予測３
背部皮脂欠乏性湿疹	予測１
背部皮脂欠乏性湿疹	予測２
背部皮脂欠乏性湿疹	予測３
左側頭葉出血	予測１
左側頭葉出血	予測２
左側頭葉出血	予測３
肩凝症	予測１
肩凝症	予測２
肩凝症	予測３
がん性疼痛	予測１
がん性疼痛	予測２
がん性疼痛	予測３
脊髄管狭搾症	予測１
脊髄管狭搾症	予測２
脊髄管狭搾症	予測３
口唇ヘルペスの悪化	予測１
口唇ヘルペスの悪化	予測２
口唇ヘルペスの悪化	予測３
死亡（腎細胞癌の増悪）	予測１
死亡（腎細胞癌の増悪）	予測２
死亡（腎細胞癌の増悪）	予測３
口が苦い	予測１
口が苦い	予測２
口が苦い	予測３
肝癌	予測１
肝癌	予測２
肝癌	予測３
好中球↓	予測１
好中球↓	予測２
好中球↓	予測３
第３指切傷	予測１
第３指切傷	予測２
第３指切傷	予測３
急性虫垂炎（１４才時手術）	予測１
急性虫垂炎（１４才時手術）	予測２
急性虫垂炎（１４才時手術）	予測３
膀胱からの出血	予測１
膀胱からの出血	予測２
膀胱からの出血	予測３
リンパ郭清	予測１
リンパ郭清	予測２
リンパ郭清	予測３
閉塞性大動脈硬化症	予測１
閉塞性大動脈硬化症	予測２
閉塞性大動脈硬化症	予測３
喀痰による閉塞	予測１
喀痰による閉塞	予測２
喀痰による閉塞	予測３
心戻細動	予測１
心戻細動	予測２
心戻細動	予測３
肺結亥	予測１
肺結亥	予測２
肺結亥	予測３
くり返すシャント血栓症	予測１
くり返すシャント血栓症	予測２
くり返すシャント血栓症	予測３
２次性副甲状腺機能亢進症（ｉｎｔａｃｔＰＴＨ上昇）【ｉｎｔａｃｔＰＴＨ上昇】	予測１
２次性副甲状腺機能亢進症（ｉｎｔａｃｔＰＴＨ上昇）【ｉｎｔａｃｔＰＴＨ上昇】	予測２
２次性副甲状腺機能亢進症（ｉｎｔａｃｔＰＴＨ上昇）【ｉｎｔａｃｔＰＴＨ上昇】	予測３
プラザキサによる腎機能悪化疑い	予測１
プラザキサによる腎機能悪化疑い	予測２
プラザキサによる腎機能悪化疑い	予測３
慢性血栓塞栓性肺高血圧症の増悪	予測１
慢性血栓塞栓性肺高血圧症の増悪	予測２
慢性血栓塞栓性肺高血圧症の増悪	予測３
下肢浮腫（両足）	予測１
下肢浮腫（両足）	予測２
下肢浮腫（両足）	予測３
心房頻拍	予測１
心房頻拍	予測２
心房頻拍	予測３
頚部出血（頚部リンパ節からの出血。頚部リンパ節は記載あり）	予測１
頚部出血（頚部リンパ節からの出血。頚部リンパ節は記載あり）	予測２
頚部出血（頚部リンパ節からの出血。頚部リンパ節は記載あり）	予測３
両側総腸骨動脈瘤術後	予測１
両側総腸骨動脈瘤術後	予測２
両側総腸骨動脈瘤術後	予測３
急性肺炎（重篤）	予測１
急性肺炎（重篤）	予測２
急性肺炎（重篤）	予測３
永久ペースメーカー挿入	予測１
永久ペースメーカー挿入	予測２
永久ペースメーカー挿入	予測３
７２歳腹部大動脈瘤術後	予測１
７２歳腹部大動脈瘤術後	予測２
７２歳腹部大動脈瘤術後	予測３
ＨＤＬコレステロールの上昇	予測１
ＨＤＬコレステロールの上昇	予測２
ＨＤＬコレステロールの上昇	予測３
薬物性紅皮症	予測１
薬物性紅皮症	予測２
薬物性紅皮症	予測３
左眼底出血	予測１
左眼底出血	予測２
左眼底出血	予測３
手足皮膚症状【手足皮膚反応】	予測１
手足皮膚症状【手足皮膚反応】	予測２
手足皮膚症状【手足皮膚反応】	予測３
僧帽弁逆流閉鎖不全	予測１
僧帽弁逆流閉鎖不全	予測２
僧帽弁逆流閉鎖不全	予測３
手・足症候群	予測１
手・足症候群	予測２
手・足症候群	予測３
右甲状腺腺腫悪化	予測１
右甲状腺腺腫悪化	予測２
右甲状腺腺腫悪化	予測３
慢性多発性関節リウマチ	予測１
慢性多発性関節リウマチ	予測２
慢性多発性関節リウマチ	予測３
手足皮膚痛	予測１
手足皮膚痛	予測２
手足皮膚痛	予測３
右足爪白癬症	予測１
右足爪白癬症	予測２
右足爪白癬症	予測３
右肘打撲	予測１
右肘打撲	予測２
右肘打撲	予測３
細菌性眼内炎（右眼）	予測１
細菌性眼内炎（右眼）	予測２
細菌性眼内炎（右眼）	予測３
左後頭葉脳梗塞	予測１
左後頭葉脳梗塞	予測２
左後頭葉脳梗塞	予測３
右正中神経損傷	予測１
右正中神経損傷	予測２
右正中神経損傷	予測３
異石灰化腫瘤【腫瘍状石灰沈着症】	予測１
異石灰化腫瘤【腫瘍状石灰沈着症】	予測２
異石灰化腫瘤【腫瘍状石灰沈着症】	予測３
左横静脈洞血栓症	予測１
左横静脈洞血栓症	予測２
左横静脈洞血栓症	予測３
右陰嚢水腫	予測１
右陰嚢水腫	予測２
右陰嚢水腫	予測３
下壁誘導におけるST上昇	予測１
下壁誘導におけるST上昇	予測２
下壁誘導におけるST上昇	予測３
心弁置換手術	予測１
心弁置換手術	予測２
心弁置換手術	予測３
腹水増悪	予測１
腹水増悪	予測２
腹水増悪	予測３
HOTFLASH	予測１
HOTFLASH	予測２
HOTFLASH	予測３
冠動脈スパズム	予測１
冠動脈スパズム	予測２
冠動脈スパズム	予測３
胆石症術後	予測１
胆石症術後	予測２
胆石症術後	予測３
母趾圧痛	予測１
母趾圧痛	予測２
母趾圧痛	予測３
突発性腹痛	予測１
突発性腹痛	予測２
突発性腹痛	予測３
慢性蕁麻疹（全身）	予測１
慢性蕁麻疹（全身）	予測２
慢性蕁麻疹（全身）	予測３
黒色液体の嘔吐	予測１
黒色液体の嘔吐	予測２
黒色液体の嘔吐	予測３
消化管症状	予測１
消化管症状	予測２
消化管症状	予測３
頭部挫創	予測１
頭部挫創	予測２
頭部挫創	予測３
重症呼吸不全	予測１
重症呼吸不全	予測２
重症呼吸不全	予測３
２５才腸閉塞手術	予測１
２５才腸閉塞手術	予測２
２５才腸閉塞手術	予測３
心内血栓（一過性）	予測１
心内血栓（一過性）	予測２
心内血栓（一過性）	予測３
左前腕の重圧感	予測１
左前腕の重圧感	予測２
左前腕の重圧感	予測３
聴力（聴力低下）	予測１
聴力（聴力低下）	予測２
聴力（聴力低下）	予測３
穿刺部出血	予測１
穿刺部出血	予測２
穿刺部出血	予測３
CLASSSIC CNV	予測１
CLASSSIC CNV	予測２
CLASSSIC CNV	予測３
ＡＳＤ（心房中隔欠損症）	予測１
ＡＳＤ（心房中隔欠損症）	予測２
ＡＳＤ（心房中隔欠損症）	予測３
平成１２年１１月７日ゆ着はく離術腸管、大網、左卵巣子宮内膜症性のう胞のゆ着	予測１
平成１２年１１月７日ゆ着はく離術腸管、大網、左卵巣子宮内膜症性のう胞のゆ着	予測２
平成１２年１１月７日ゆ着はく離術腸管、大網、左卵巣子宮内膜症性のう胞のゆ着	予測３
胃粘膜のヒダ状白色肥厚	予測１
胃粘膜のヒダ状白色肥厚	予測２
胃粘膜のヒダ状白色肥厚	予測３
壊死性リンパ節炎	予測１
壊死性リンパ節炎	予測２
壊死性リンパ節炎	予測３
近視性脈絡膜新生血管	予測１
近視性脈絡膜新生血管	予測２
近視性脈絡膜新生血管	予測３
鼻出血 発現日不明	予測１
鼻出血 発現日不明	予測２
鼻出血 発現日不明	予測３
下肢ＤＶＴ	予測１
下肢ＤＶＴ	予測２
下肢ＤＶＴ	予測３
右腎出血性のう胞うたがい	予測１
右腎出血性のう胞うたがい	予測２
右腎出血性のう胞うたがい	予測３
幼少時に下痢で入院その時輸血を受ける	予測１
幼少時に下痢で入院その時輸血を受ける	予測２
幼少時に下痢で入院その時輸血を受ける	予測３
左足がだるい	予測１
左足がだるい	予測２
左足がだるい	予測３
咽頭が苦しい	予測１
咽頭が苦しい	予測２
咽頭が苦しい	予測３
手の甲の腫脹	予測１
手の甲の腫脹	予測２
手の甲の腫脹	予測３
睾丸腫瘍	予測１
睾丸腫瘍	予測２
睾丸腫瘍	予測３
イライラしやすい	予測１
イライラしやすい	予測２
イライラしやすい	予測３
足痛	予測１
足痛	予測２
足痛	予測３
消化管出血疑い	予測１
消化管出血疑い	予測２
消化管出血疑い	予測３
左第４指痛	予測１
左第４指痛	予測２
左第４指痛	予測３
左人工骨頭置換術後	予測１
左人工骨頭置換術後	予測２
左人工骨頭置換術後	予測３
右下腿皮下血腫	予測１
右下腿皮下血腫	予測２
右下腿皮下血腫	予測３
耐糖能悪化	予測１
耐糖能悪化	予測２
耐糖能悪化	予測３
喉のかわき	予測１
喉のかわき	予測２
喉のかわき	予測３
慢性肝炎（軽度、肝硬変は無い）	予測１
慢性肝炎（軽度、肝硬変は無い）	予測２
慢性肝炎（軽度、肝硬変は無い）	予測３
ＰｏｒｔａｌＨｙｐｅｒｔｅｎｓｉｖｅＧａｓｔｒｏｐａｔｈｙ	予測１
ＰｏｒｔａｌＨｙｐｅｒｔｅｎｓｉｖｅＧａｓｔｒｏｐａｔｈｙ	予測２
ＰｏｒｔａｌＨｙｐｅｒｔｅｎｓｉｖｅＧａｓｔｒｏｐａｔｈｙ	予測３
肝臓Γ線療法	予測１
肝臓Γ線療法	予測２
肝臓Γ線療法	予測３
甲状腺悪性リンパ腫	予測１
甲状腺悪性リンパ腫	予測２
甲状腺悪性リンパ腫	予測３
蓄膿症手術（２５才）（副鼻腔炎）	予測１
蓄膿症手術（２５才）（副鼻腔炎）	予測２
蓄膿症手術（２５才）（副鼻腔炎）	予測３
グルコース耐性境界型	予測１
グルコース耐性境界型	予測２
グルコース耐性境界型	予測３
陰部の不快感	予測１
陰部の不快感	予測２
陰部の不快感	予測３
死亡（敗血症）	予測１
死亡（敗血症）	予測２
死亡（敗血症）	予測３
月経の出血量が少ない	予測１
月経の出血量が少ない	予測２
月経の出血量が少ない	予測３
超急性期脳梗塞	予測１
超急性期脳梗塞	予測２
超急性期脳梗塞	予測３
早期慢性関節リウマチ	予測１
早期慢性関節リウマチ	予測２
早期慢性関節リウマチ	予測３
閃輝性硝子体融解	予測１
閃輝性硝子体融解	予測２
閃輝性硝子体融解	予測３
月経が多い	予測１
月経が多い	予測２
月経が多い	予測３
熱傷（右第Ⅱ～第Ⅳ指）	予測１
熱傷（右第Ⅱ～第Ⅳ指）	予測２
熱傷（右第Ⅱ～第Ⅳ指）	予測３
MALIGNANT MIXED GERM CELL TUMOR	予測１
MALIGNANT MIXED GERM CELL TUMOR	予測２
MALIGNANT MIXED GERM CELL TUMOR	予測３
横行結腸がん	予測１
横行結腸がん	予測２
横行結腸がん	予測３
心臓-その他(心尖部肥大型心筋症)	予測１
心臓-その他(心尖部肥大型心筋症)	予測２
心臓-その他(心尖部肥大型心筋症)	予測３
全身掻痒症	予測１
全身掻痒症	予測２
全身掻痒症	予測３
ＴＧ異常値	予測１
ＴＧ異常値	予測２
ＴＧ異常値	予測３
弾撥指（術後）	予測１
弾撥指（術後）	予測２
弾撥指（術後）	予測３
噴門癌	予測１
噴門癌	予測２
噴門癌	予測３
下腹部痛の増悪（月経時）	予測１
下腹部痛の増悪（月経時）	予測２
下腹部痛の増悪（月経時）	予測３
ＩＮＲ短縮	予測１
ＩＮＲ短縮	予測２
ＩＮＲ短縮	予測３
